,latitud,longitud
236,-2.187180539,-79.8958450555802
237,-2.18727434792112,-79.8955687880516
238,-2.186880350413,-79.89671677351
239,-2.18691787398966,-79.8966068029404
240,-2.18695271731,-79.8964861035347
241,-2.18722878358874,-79.8957109451294
242,-2.18724754537282,-79.895450770855
243,-2.18716445747007,-79.8954641819
244,-2.18674633763155,-79.8952898383141
245,-2.18672757584119,-79.8951798677445
246,-2.18685890836877,-79.8947668075562
247,-2.18700364216135,-79.8944798111916
248,-2.18721806256915,-79.894557595253
249,-2.18690179245692,-79.8945119976998
250,-2.18672757584119,-79.8949465155602
251,-2.18665788918924,-79.8951610922814
252,-2.18655603946133,-79.8954829573631
253,-2.186885710924,-79.8960837721825
254,-2.18695003705462,-79.8960998654366
255,-2.18695807782075,-79.8963493108749
256,-2.18684818734655,-79.8966684937477
257,-2.18676777967739,-79.8950377106667
258,-2.18675169814303,-79.8969635367393
259,-2.18681334402377,-79.8948982357979
260,-2.18689375169048,-79.8946622014046
261,-2.18693395552223,-79.8945334553719
262,-2.18710281160377,-79.8945146799088
263,-2.18732527276156,-79.8945817351341
264,-2.18744856447335,-79.8946166038513
265,-2.18642470690724,-79.8958799242973
266,-2.18647563177652,-79.8959362506867
267,-2.18654531843694,-79.8959603905678
268,-2.18669809302729,-79.8960113525391
269,-2.18679994274556,-79.8960515856743
270,-2.18691787398966,-79.8964539170265
271,-2.186885710924,-79.8965585231781
272,-2.18682138479063,-79.8967435956001
273,-2.18678654146724,-79.8968482017517
274,-2.18698756062953,-79.8962554335594
275,-2.1867490178873,-79.8948714137077
276,-2.18657748150989,-79.8954024910927
277,-2.18669541277147,-79.8971298336983
278,-2.18651583561946,-79.8955875635147
279,-2.18661768535011,-79.895992577076
280,-2.18647027126405,-79.8957404494286
281,-2.18678118095588,-79.8947909474373
282,-2.18680530325686,-79.8947024345398
283,-2.18808378465393,-79.8948258161545
284,-2.18796049299435,-79.8947855830193
285,-2.18700900267193,-79.8961374163628
286,-2.18661500509412,-79.8952952027321
287,-2.18765494405519,-79.8946863412857
288,-2.18707332879725,-79.895450770855
289,-2.18746196574576,-79.8946300148964
290,-2.18755309439497,-79.8946595191956
291,-2.18774607269268,-79.8947185277939
292,-2.18669273251562,-79.8950457572937
293,-2.18696343833148,-79.8954159021378
294,-2.18687767015749,-79.8953917622566
295,-2.18648400757722,-79.8980498313904
296,-2.18658585731001,-79.8977655172348
297,-2.1866877070359,-79.897443652153
298,-2.18677347522076,-79.8971700668335
299,-2.18686996442286,-79.8968213796616
300,-2.18699325617207,-79.8965156078339
301,-2.18706830331881,-79.8963224887848
302,-2.1869557325973,-79.8966604471207
303,-2.18714335046179,-79.8960703611374
304,-2.18725056065954,-79.8957431316376
305,-2.18732024728396,-79.8954641819
306,-2.18744889950516,-79.8951101303101
307,-2.18756683069824,-79.894739985466
308,-2.18765259883283,-79.8945200443268
309,-2.18774372747046,-79.8942303657532
310,-2.18784557711773,-79.8938870429993
311,-2.18797958980098,-79.8935008049011
312,-2.18807607892549,-79.8932111263275
313,-2.18816184703097,-79.892942905426
314,-2.18825297563765,-79.8926264047623
315,-2.18836018575609,-79.8923206329346
316,-2.18845131435072,-79.8920470476151
317,-2.1885263614245,-79.891848564148
318,-2.18859604798963,-79.8915857076645
319,-2.18868181606536,-79.8913496732712
320,-2.18874614211895,-79.8910868167877
321,-2.18885871270605,-79.89078104496
322,-2.18894984127038,-79.8905074596405
323,-2.18901952781584,-79.8902821540833
324,-2.18912137737645,-79.8900139331818
325,-2.18922322693014,-79.8896545171738
326,-2.18935187898806,-79.8893219232559
327,-2.18759061795481,-79.8946166038513
328,-2.18760401922595,-79.8946005105972
329,-2.18733331352568,-79.8945844173432
330,-2.18761742049697,-79.8945978283882
331,-2.18671417456222,-79.8972237110138
332,-2.18675705865451,-79.897084236145
333,-2.18679994274556,-79.8969420790672
334,-2.1868428268354,-79.8968267440796
335,-2.18713765491981,-79.895989894867
336,-2.18718589950994,-79.895828962326
337,-2.1872341440985,-79.8957002162933
338,-2.18689375169048,-79.89671677351
339,-2.18692591475597,-79.8965933918953
340,-2.18696075807612,-79.8964646458626
341,-2.18701168292719,-79.8963171243668
342,-2.18727434792112,-79.8955553770065
343,-2.18723950460825,-79.895450770855
344,-2.18716177721507,-79.8954695463181
345,-2.18673025609697,-79.8951557278633
346,-2.1867731401888,-79.8950162529946
347,-2.18681870453501,-79.8948821425438
348,-2.18711085236908,-79.8945146799088
349,-2.18684818734655,-79.8946112394333
350,-2.18680262300122,-79.8947158455849
351,-2.1867758204445,-79.8948043584824
352,-2.18669005225978,-79.8950591683388
353,-2.18651047510713,-79.8956036567688
354,-2.18649171331383,-79.8959362506867
355,-2.18655603946133,-79.8959603905678
356,-2.18662572611802,-79.895992577076
357,-2.18698488037421,-79.8962688446045
